Identifikationsnr|Typ av objekt|Benämning|Material|Namn-Konstnär|Konstnär-KulturNav|Namn-Konstruktör|Konstruktör-KulturNav|Namn-Konstruktör|Namn-Fotograf|Namn-Tillverkare|Namn-Tillverkare|Namn-Tillverkare|Datering-Fotografering|Datering-Produktion|Avbildade namn|Avbildade-KulturNav|Avbildade namn|Avbildade namn|Avbildade - orter|Ämnesord|Beskrivning|Motiv-ämnesord|Motiv-beskrivning|Rättigheter|Samling|Dimukode
OR 1033:14|Föremål|Ritning|Papper|Chapman, Fredrik Henrik af|||||Karlsson, Anneli||||||VICTORY|||||||Segelfartyg, Örlogsfartyg, Fartygsornament|Akterspegelsornament, Akterspegel|Utgången skyddstid|Sjöhistoriska museet|011024826827
SB 1394:b|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||Odaterad||||||||Örlogsfartyg, Akterspegel, Fartygsornament|Akterspegelsornament, Akterspegel|Utgången skyddstid|Sjöhistoriska museet|011024830813
SB 615|Föremål|Akvarell|Papper|Pellegrin, J. Honore M.||||||||||Odaterad|SJÖFRÖKEN|||||||Brigg, Handelsfartyg|Akvarell föreställande briggen Sjöfröken av Stockholm. Text på tavlan: "... förd av kapten H (oläsligt namn) från Marseil till Alger 1841" Signerad H: Pellegrin à  Marseille 1841|Utgången skyddstid|Sjöhistoriska museet|011024831039
1976:25:13:a|Föremål|Ritning|Papper|||Kumlien, Bengt||Laurin, Arvid||||||1948|||||||Kopia|Fritidsbåt, Koster, Laurinkoster|Arbetsritning till Laurinkoster|Erkännande-Dela lika|Sjöhistoriska museet|011024663786
1976:25:16:d|Föremål|Ritning|Papper|||Laurin, Arvid||||||||1940||||||||Fritidsbåt, Koster, Laurinkoster|Arbetsritning till Laurinkoster|Erkännande-Dela lika|Sjöhistoriska museet|011024663947
Fo33024|Foto||||||||Okänd fotograf||||||ARCHIBALD RUSSEL|||||||Segelfartyg|Archibald Russel 4- mast barkskepp hemmahörande i Mariehamn|Utgången skyddstid|Sjöhistoriska museet|021015771364
Fo179255_35DIG|Foto||||||||Karlsson, Anneli||||2012|||||||||Blasieholmen, Grand Hôtel, Marinarkeolog, Vrak|Arkeologisk undersökning vid Grand Hôtel, Blasieholmen 23 nov 2011 inför renovering av kaj|Erkännande-Dela lika|Sjöhistoriska museet|021015508785
Fo179244_18DIG|Foto||||||||Karlsson, Anneli|||||||||||||Arkeolog, Grand Hôtel, Vrak|Arkeologisk undersökning vid Grand Hôtel, Blasieholmen 23 nov 2011 inför renovering av kaj|Erkännande-Dela lika|Sjöhistoriska museet|021015915895
1975:1466:b|Föremål|Ritning||||Östlund, Ruben|http://kulturnav.org/67310e8e-37c9-4042-88cd-e1e244a5bff8|||||||||||||||Campingbåt, Fritidsbåt, Motorbåt|Arrangemangsritning till campingbåt|Erkännande-Dela lika|Sjöhistoriska museet|011024658563
Fo35866A|Foto||||||||Fox Photos London||||||PASSAT|||||||Fyrmastad bark, Fyrmastat barkskepp, Passat|Barken PASSAT med brassade rår|Utgången skyddstid|Sjöhistoriska museet|011015377399
S 5369|Föremål|Fartygsporträtt|Pannå under glas|Sjöström, Lars Petter|||||Lilja, Andreas|||||1872|HILDUR|||||Besättning, Galjonsfigur, Kaptenstavla, Namnvimpel, Signalflaggor, Söderhamn, Tremastad bark|Ram: Förgylld, kälad|Besättning, Däckhus, Fartygsporträtt, Galjonsfigur, Manskap, Namnvimpel, Signalflagga|Barkskepp till sjöss under alla segel visande styrbords sida. Fartyget har svensk unionsflagg, namnsignal enligt Marryats code och namnvimpel|Utgången skyddstid|Sjöhistoriska museet|011024830097
S 1550|Föremål|Fartygsporträtt|Kartong under glas|Stoll, W|||||Okänd fotograf|||||1874|CARL XV|||||Tremastad bark||Carl XV, Fartygsporträtt, Kaptenstavla, Tremastad bark|Barkskeppet Carl XV. Capt. J.O. Stafverin af Hernösand". Fartyget ligger för styrbords halsar visande lovarts sida och för alla segel. Skrovet svartmålat med gul skarndäckslist och grön bottenfärg|Utgången skyddstid|Sjöhistoriska museet|021025512066
S 4908|Föremål|Fartygsporträtt|Under glas|Fedi, Giuseppe|||||Lilja, Andreas||||||FORTUNA|||||Tremastad bark|Ram: Förgylld|Fartygsporträtt, Fortuna, Kust, Kyrka, Manskap, Svensk flagga, Tremastad bark|Barkskeppet Fortuna av Umeå visande babords sida med alla segel satta. Skrovet ljusbrunt och svart, med röd bottten. Svensk flagg på mesanmasten och lång blågul vimpel blåsande från stortoppen|Utgången skyddstid|Sjöhistoriska museet|011024830000
Fo179324_16DIG|Foto||||||||Karlsson, Anneli||||2013||||||Björkö, Ekerö|||Birka, Marinarkeologi|Birka marinarkeologisk undersökning|Erkännande-Dela lika|Sjöhistoriska museet|021015519956
Fo179324_23DIG|Foto||||||||Karlsson, Anneli||||2013||||||Björkö, Ekerö|||Birka, Marinarkeologi|Birka marinarkeologisk undersökning|Erkännande-Dela lika|Sjöhistoriska museet|021015519963
1979:23:36:d|Föremål|Ritning||||Estlander, Gustaf||||||||1932||||||||Fritidsbåt, Mälar 22, Segelbåt|Byggnadsritning till Mälar 22:a|Utgången skyddstid|Sjöhistoriska museet|011024680567
1977:201:3|Föremål|Ritning|Papper|||Eklund, Lage||||||||||||||||Fritidsbåt, Mälar 30, Segelbåt|Byggnadsritning till Mälar 30:a|Erkännande-Dela lika|Sjöhistoriska museet|011024669340
1990:10:136:2|Föremål|Ritning||||Reimers, Knud H.||||||||1947|SIROCCO II|||||||Fritidsbåt, Onedesign class, Segelbåt|Byggnadsritning i plan och profil till Sirocco II|Erkännande-Dela lika|Sjöhistoriska museet|011024734554
1974:621:b|Föremål|Ritning||||Salander, Erik||||||||||||||||Fritidsbåt, Skärgårdskryssare 45 kvm, Skärgårdskryssare|Byggnadsritning i profil, plan och sektion|Erkännande-Dela lika|Sjöhistoriska museet|011024650969
2008:23:18:1|Föremål|Ritning|Ritfilm|||Eklund, Lage||||||||1951-04||||||||Fritidsbåt, Skärgårdskryssare, Skärgårdskryssare 22 kvm, Skärgårdskryssare|Byggnadsritning i profil, plan och sektioner till 22 kvm skärgårdskryssare|Erkännande-Dela lika|Sjöhistoriska museet|011024772838
1996:14:20:6|Föremål|Ritning||||Brohäll, Per|http://kulturnav.org/3f50a565-440f-4409-a027-e4fe0f53e0a8|||||||1959-01-04|TRISS|||||||Fritidsbåt, Segelbåt med utombordsmotor|Byggnadsritning Trissjolle|Erkännande-Dela lika|Sjöhistoriska museet|011024758456
1970:76|Föremål|Teckning||||||||||||||||||Bärgning, Förlisning, Ångfartyg|Teckning signerad J.H. Uppfodrat på A4-ark|Bärgning, Handelsfartyg, Pråm, Vrak, Ångfartyg|Bärgning av sjunket ångfartyg med hjälp av två pråmar|Erkännande-Dela lika|Sjöhistoriska museet|011024644386
Fo216249|Foto||||||||Okänd fotograf||||||MONTROSE|||||||Passagerarångfartyg, Rederivykort, Större passagerarfartyg, Vykort, Ångfartyg|Canadian Pacific Liner "Montrose" 16,400 Tons|Utgången skyddstid|Sjöhistoriska museet|011015399794
SB 1495:1|Föremål|Akvarell|Papper|Middleship, Edward Archibald||||||||||Odaterad|||||Saint-Barthélemy|Koloni|akvarell|Fort, Hamn, Kanon, Soldat, Uniform|Den svenska kolonin Saint Barthélemy. Utsikt från fortet Gustaf med kanoner och soldat|Utgången skyddstid|Sjöhistoriska museet|011024830850
Fo29648A|Foto||||||||Grossmann||||1881||CALAIS DOUVRES|||||||Calais Douvres, Hjulångfartyg, Passagerarfartyg|Dubbelskrovhjulångfartyget CALAIS-DOUVRES av Calais liggande i Dover på 1880-talet. De båda skroven höllos tillsammans av järnspant. Paddelhjulen sittande mellan skroven. 4 skorstenar. Direkt ångtryck. 600 hkr. Farten var 13 knop. Togs ur trafik 1887. Såld till kolupplag på Themsen efter ha legat upplagd i Tilbury|Utgången skyddstid|Sjöhistoriska museet|011014775167
Fo35068|Foto||||||||Okänd fotograf||||||||||Ekensberg, Stockholm|||Passagerarfartyg, Varvsområde|Ekensbergs varv, Stockholm|Utgången skyddstid|Sjöhistoriska museet|021015771513
Fo210166|Foto||||||||Okänd fotograf||||||CITY OF LONDON|||||||Lastångfartyg, Lastfartyg, Vykort, Ångfartyg|Ellerman Lines t.s.s. CITY OF LONDON|Utgången skyddstid|Sjöhistoriska museet|021015762801
Fo29410|Foto||||||||Okänd fotograf||||1933||||||Afrika|||Akterhjulångare, Hjulångare, Sternwheeler|En okänd paddelångare vid Leopoldville, Kongofloden (Belgiska Kongo). Foto från april 1933. Fartyget var för tillfället mötesplats för afrikanska missionärer|Utgången skyddstid|Sjöhistoriska museet|021015771161
O 08950|Föremål|Fartygsmodell|Stålplåt|||Enroth, L. E.|||Karlsson, Anneli|||||1897||||||Projekt, Torpedbåt, Ubåt|Spolformad. Stålplåt||Eneroths förslag till ubåt 1897|Erkännande-Dela lika|Sjöhistoriska museet|011024825835
SR 2112|Föremål|Ritning|Papper|||Chapman, William||||||||1761-09-25|ADOLPH FRIEDRICH||||||Tuschritning på kalkerpapper|Akterspegel, Handelsfartyg, Ostindiefarare, Segelfartyg|Exteriör i profil, akterspegel och från fören av ostindiefararen Adolph Friedrich|Utgången skyddstid|Sjöhistoriska museet|011024838786
SM 23454|Föremål|Fartygsporträtt|Papper|Roberto, Luigi|||||Okänd fotograf|||||Ca 1900|OVIDIA|||||Härnösand, Lastångfartyg, Skorstensmärke, Sunderland, Unionsflagga|Ram: Svart, ornerad|Fartygsporträtt, Fyr, Kust, Lastångfartyg, Livbåt, Nordstjernan, Skorsten, Skorstensmärke, Svensk flagga, Unionsflagga, Vågor, Ånga|Ångfartyget Ovidia. Fartyget har unionsflagga|Utgången skyddstid|Sjöhistoriska museet|021025887639
SM 30066|Föremål|Fartygsmodell|||||||Karlsson, Anneli|||||2014|DROTTNING VICTORIA|||||Trelleborg-Sassnitz, Tågfärja, Ångfartyg|Fatygsmodell i skala 1:200 av ångfartyget/tågfärjan s/s DROTTNING VICTORIA byggt 1909||Fartygsmodell av tågfärjan s/s DROTTNING VICTORIA byggd 1909|Erkännande-Dela lika|Sjöhistoriska museet|021025899941
SB 935|Föremål|Fartygsporträtt|Papper||||||||||||ATALANTA|||||||Båt, Handelsfartyg, Lastfartyg, Vulkan, Ångfartyg|Fartygsporträtt av Atalanta Stockholm. I bakgrunden syns vulkanutbrott. På vattnet kring fartyget små båtar där besättningen lyser med facklor|Erkännande-Dela lika|Sjöhistoriska museet|011024831076
1980:14|Föremål|Fartygsporträtt|Papper|||||||||||Odaterad|SVEA|||||||Lastfartyg, Ångfartyg|Fartygsporträtt av ångfartyget Svea 1908|Erkännande-Dela lika|Sjöhistoriska museet|011024688263
Fo206482|Foto||||||||Okänd fotograf/Götaverken||||1962||HOLMA|||||||Tankfartyg, Provtur|Flygfoto från provtur|Utgången skyddstid|Sjöhistoriska museet|021015760621
Fo41111AB|Foto||||||||Jansson, Ossi||||1949||BELOOSTROV||||Stockholms ström|||Beloostrov, Ex Aallotar, Passagerarångfartyg, Ångfartyg|Foto från 1949 visande passagerarångfartyg BELOOSTROV av Ryssland under gång på Stockholms ström. Foto: Ossi Jansson|Utgången skyddstid|Sjöhistoriska museet|011015400753
Fo41127AB|Foto||||||||Jansson, Ossi||||1963||ARGENTINA|||||||Argentina, Turist- och passagerartubinångfartyg, Handelsfartyg|Foto från 1963 visande turist-& passagerarturbinångfartyget ARGENTINA för ankar på Stockholms ström|Utgången skyddstid|Sjöhistoriska museet|021015771814
Fo10635C|Foto||||||||Okänd fotograf/Hansen & Pedersen||||1940||B.P. NEWTON||||Köpenhamn, Danmark|||Tankfartyg, Handelsfartyg|Foto i svartvitt viande tankmotorfartyget "B.P.NEWTON" av Oslo vid kaj i Köpenhamn i början av 1940-talet|Utgången skyddstid|Sjöhistoriska museet|011014866724
Fo10702C|Foto||||||||Hansen & Pedersen||||||PASSAT||||Köpenhamn, Danmark|||4-m bark, Bogserbåt, Fyrmastad bark, Fyrmastat barkskepp, Odin, Passat, Tyr|Foto i svartvitt visande 4-mast barkskepp 'PASSA' av Mariehamn under bogsering i Köpenhamn 1930-talet|Utgången skyddstid|Sjöhistoriska museet|011014866854
Fo11856A|Foto||||||||Okänd fotograf/BT Centralen||||1928||GERDA||||Danmark|||Lastfartyg, Brigg|Foto i svartvitt visande briggen Gerda av Pataholm, med trälast utanför Troense, sommaren 1928|Utgången skyddstid|Sjöhistoriska museet|011015417468
Fo41171|Foto||||||||Okänd fotograf||||||KONG FREDRIK IX||||Grossenbrode, Tyskland|||Tågfärja, Färjeläge|Foto i svartvitt visande Grossenbrode-kajen med i förgrunden järnvägsfärjan Kong Fredrik IX av Gedser|Utgången skyddstid|Sjöhistoriska museet|021015771829
Fo9856A|Foto||||||||Okänd fotograf/Hansen & Pedersen||||1954||RYDBOHOLM||||Köpenhamn, Danmark|||Lastmotorfartyg, Handelsfartyg|Foto i svartvitt visande lastmotorfartyget "RYDBOHOLM" i Köpenhamn under någon av vintermånaderna år 1954|Utgången skyddstid|Sjöhistoriska museet|021015780177
Fo10209C|Foto||||||||Okänd fotograf/Hansen & Pedersen||||||NILS GORTHON||||Köpenhamn, Danmark|||Lastångfartyg, Handelsfartyg|Foto i svartvitt visande lastångfartyget "NILS GORTHON" av Helsingborg i Köpenhamn under 1930-talet|Utgången skyddstid|Sjöhistoriska museet|011014865679
Fo220866|Foto||||||||Parsons, C.||||1953||PATRICIA|||||||Lloydare, Passagerarångare, Ångfartyg|Fotodatum: augusti 1953|Utgången skyddstid|Sjöhistoriska museet|021015769502
OR 3000:5|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af|||Karlsson, Anneli|||||1797-04-25||||||Skeppsbyggeri|Tuschritning på ritpapper|Linjeskepp, Örlogsfartyg|Fredrik Henrik af Chapmans plan för skeppens byggnadsordning i dockorna i Karlskrona 1799-1833|Utgången skyddstid|Sjöhistoriska museet|011024828387
O 11116|Föremål|Fartygsporträtt|Duk|Hägg, Jacob|||||Jonson, Johan|||||1905|EUGENIE|||||Fregatt, Magellans sund, Sea Reach||1900-talet, Eugenie, Fartygsporträtt, Fregatt, Magellans sund, Sea Reach|Fregatten EUGENIE då hon den 10 februari efter fullbordad genomsegling av Magellans sund nått Sea Reach, det västra inloppet till sundet|Utgången skyddstid|Sjöhistoriska museet|011024826489
O 08142|Föremål|Marinmotiv||Hägg, Jacob|||||Jonsson, Johan|||||1862|VANADIS|http://kulturnav.org/8f332289-7cfc-47b3-b1ee-5acee8051791||||Långresa, Vanadis|Ram: Förgylld|1860-talet, Fregatt, Gibraltar, Långresa, Vanadis|Fregatten Vanadis, läggande bi utanför Gibraltar|Utgången skyddstid|Sjöhistoriska museet|011024825509
Fo195580|Foto||||||||Karlsson, Karl Emil||||||FREJA|http://kulturnav.org/cf24ed50-c62e-405a-a93a-78827bf74615|||Karlskrona|||Korvett, Saga, Vykort|Freja. Skeppsgosse"brigg" Foto Karl Karlsson Karlskrona|Utgången skyddstid|Sjöhistoriska museet|021015514216
Fo216152|Foto||||||||Okänd fotograf||||||||||Stockholms inre skärgård|||Eka, Vykort, Ångfartyg|Från Stockholms Omgifningar. Parti af Stäket. Import Axel Eliassons Konstförlag, Stockholm. No. 3429|Utgången skyddstid|Sjöhistoriska museet|021015514629
S 0056|Föremål|Fartygsporträtt|Duk|Spencer, R B|||||Lilja, Andreas||||||ODIN|||||Fullriggare|Oljemålning på duk i kilram. Ram: Förgylld|Babord, Dover, Fartygsporträtt, Fullriggare, Hjulångare, Odin, Råsegel, Unionsflagga|Fullriggaren "0din ", seglande bidevind för styrbords halsar, visande läsida. I bakgrunden klipporna vid Dover, Sign. nedre vänstra hörnet: 'R.B. Spencer”|Utgången skyddstid|Sjöhistoriska museet|021025885631
1991:9|Föremål|Ritning|Papper|||Hernberg, Ernst|http://kulturnav.org/936d3a8a-91ea-4b00-8436-f380f3bf3d77||Kristensson, Karolina|||||1884|AEOLUS|||||||Handelsfartyg, Passagerarångfartyg|Färglagd ritning av ångaren Aeolus. Inredningsritning. Midskeppssektion, plan av huvuddäck och däck, samt spantsektion vid maskin- och lastrum|Utgången skyddstid|Sjöhistoriska museet|011024754883
O 02432|Föremål|Fartygsornament, galjonsbild|Vax||||||Karlsson, Anneli||||||S:T ERIK|||||Galjonsbild, Galjonsfigur, S:t Erik, Vax|||Föreställande St . Erik, bröstbild med furstlig krona|Erkännande-Dela lika|Sjöhistoriska museet|021025899142
O 11435|Föremål|Porträtt||Lundberg, Gustaf|||||Okänd fotograf||||||Rajalin, Johan von|||||Galär, Stockholms Örlogsvarv, Svärdsorden, Viceamiral||Friherre, Medalj, Midjebild, Svärdsorden, Uniform, Viceamiral|Föreställer viceamiralen friherre Johan von Rajalin (1715-1786) en face från vänster|Utgången skyddstid|Sjöhistoriska museet|011024826613
1976:7/46|Föremål|Ritning||||||||||||||||||Stockholmsutställningen 1897||Fritidsbåt, Lustbåt, Roddbåt|Förslag till 8 fots lustbåt, utsmyckning|Erkännande-Dela lika|Sjöhistoriska museet|011024665616
SB 1406:b|Föremål|Teckning|Papper|||Chapman, Fredrik Henrik af||||||||Odaterad||||||||Galjonsfigur, Örlogsfartyg|Galjon sedd från styrbords sida|Utgången skyddstid|Sjöhistoriska museet|011024830830
SB 1419:b|Föremål|Teckning|Papper|Chapman, Fredrik Henrik af||||||||||Odaterad||||||||Galjonsfigur, Örlogsfartyg|Galjonsbild Hercules|Utgången skyddstid|Sjöhistoriska museet|011024830835
SB 1419:a|Föremål|Teckning|Papper|Chapman, Fredrik Henrik af||||||||||Odaterad||||||||Galjonsfigur, Örlogsfartyg|Galjonsbild Mercurius, samt kvinnlig bild|Utgången skyddstid|Sjöhistoriska museet|011024830833
1994:001:4|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1756|||||||laverad|Galjonsfigur, Mansfigur, Sköld, Örlogsfartyg|Galjonsfigur, bevingad mansfigur hållande mansporträtt|Utgången skyddstid|Sjöhistoriska museet|011024755007
1994:001:2|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1756|La CONCORDE|||||||Galjonsfigur, Kvinnofigur, Örlogsfartyg|Galjonsfigur, kvinna med koger. Till örlogsfartyget La Concorde|Utgången skyddstid|Sjöhistoriska museet|011024754997
1994:001:8|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af|||Karlsson, Anneli|||||1756|ORPHÉE||||||blyerts, fuktskadad|Galjonsfigur, Lyra, Mansfigur, Örlogsfartyg|Galjonsfigur, mansfigur med lyra|Utgången skyddstid|Sjöhistoriska museet|011024755029
O 04111|Föremål|Ritning|Papper|Velde d.ä., Willem van de|||||Karlsson, Anneli|||||1667||||||Akterskepp , Linjefartyg, Linjeskepp|Ram: Förgylld|Akterspegel, Galleri, Fartygsornament|Galleri och akterspegel|Utgången skyddstid|Sjöhistoriska museet|011024824097
Fo216021|Foto||||||||Okänd fotograf||||||||||Tegelviken, Stockholm|||Södra varvet, Vykort|Gamla Stockholm. Motiv från Södra varvet. SLT G 49|Utgången skyddstid|Sjöhistoriska museet|021015514572
SB 1581|Föremål|Akvarell|Papper|Middleship, Edward Archibald||||||||||1858-07-22|||||Gustavia, Saint-Barthélemy|Koloni|akvarell|Djur, Hus|Gatuparti i staden Gustavia. En man bär en korg på huvudet och tre getter står vid vägkanten|Utgången skyddstid|Sjöhistoriska museet|011024773943
OR 2999:1|Föremål|Ritning||||Chapman, Fredrik Henrik af||||||||1794||||||Skeppsbyggeri||Linjeskepp, Örlogsfartyg|General ritning - spantens areor|Utgången skyddstid|Sjöhistoriska museet|011024828376
SR 2415:4|Föremål|Ritning|Papper|||Kierkegaard, Niels Christian||||||||||||||||Barkskepp, Handelsfartyg|Genomskärning. Konstruktion i profil och däcksplan till barkskepp|Utgången skyddstid|Sjöhistoriska museet|011024839814
